TIENDA_ID;DIA_ID;VISITAS;VENTAS;KEY_CONVERSION
Tienda 1;2019-02-06;878;159;Tienda 1_20190206
Tienda 1;2019-02-07;147;94;Tienda 1_20190207
Tienda 1;2019-02-08;378;81;Tienda 1_20190208
Tienda 1;2019-02-09;165;123;Tienda 1_20190209
Tienda 1;2019-02-10;347;111;Tienda 1_20190210
Tienda 1;2019-02-11;332;171;Tienda 1_20190211
Tienda 1;2019-02-12;571;224;Tienda 1_20190212
Tienda 1;2019-02-13;510;227;Tienda 1_20190213
Tienda 1;2019-02-14;423;150;Tienda 1_20190214
Tienda 1;2019-02-15;514;182;Tienda 1_20190215
Tienda 1;2019-02-16;356;110;Tienda 1_20190216
Tienda 1;2019-02-17;230;40;Tienda 1_20190217
Tienda 1;2019-02-18;321;80;Tienda 1_20190218
Tienda 1;2019-02-19;218;99;Tienda 1_20190219
Tienda 1;2019-02-20;428;201;Tienda 1_20190220
Tienda 1;2019-02-21;616;141;Tienda 1_20190221
Tienda 1;2019-02-22;667;170;Tienda 1_20190222
Tienda 1;2019-02-23;251;101;Tienda 1_20190223
Tienda 1;2019-02-24;1754;295;Tienda 1_20190224
Tienda 1;2019-02-25;466;159;Tienda 1_20190225
Tienda 1;2019-02-26;27;6;Tienda 1_20190226
Tienda 1;2019-02-27;414;126;Tienda 1_20190227
Tienda 1;2019-02-28;407;74;Tienda 1_20190228
Tienda 1;2019-03-01;423;80;Tienda 1_20190301
Tienda 1;2019-03-02;307;75;Tienda 1_20190302
Tienda 1;2019-03-03;194;105;Tienda 1_20190303
Tienda 1;2019-03-04;326;140;Tienda 1_20190304
Tienda 1;2019-03-05;116;85;Tienda 1_20190305
Tienda 1;2019-03-06;395;86;Tienda 1_20190306
Tienda 1;2019-03-07;116;57;Tienda 1_20190307
Tienda 1;2019-03-08;142;102;Tienda 1_20190308
Tienda 1;2019-03-09;21;11;Tienda 1_20190309
Tienda 1;2019-03-10;191;101;Tienda 1_20190310
Tienda 1;2019-03-11;46;19;Tienda 1_20190311
Tienda 1;2019-03-12;482;230;Tienda 1_20190312
Tienda 1;2019-03-13;116;31;Tienda 1_20190313
Tienda 1;2019-03-14;311;78;Tienda 1_20190314
Tienda 1;2019-03-15;465;224;Tienda 1_20190315
Tienda 1;2019-03-16;274;71;Tienda 1_20190316
Tienda 1;2019-03-17;75;20;Tienda 1_20190317
Tienda 1;2019-03-18;914;228;Tienda 1_20190318
Tienda 1;2019-03-19;67;23;Tienda 1_20190319
Tienda 1;2019-03-20;744;142;Tienda 1_20190320
Tienda 1;2019-03-21;114;47;Tienda 1_20190321
Tienda 1;2019-03-22;320;95;Tienda 1_20190322
Tienda 1;2019-03-23;275;91;Tienda 1_20190323
Tienda 1;2019-03-24;70;37;Tienda 1_20190324
Tienda 1;2019-03-25;247;66;Tienda 1_20190325
Tienda 1;2019-03-26;216;56;Tienda 1_20190326
Tienda 1;2019-03-27;440;165;Tienda 1_20190327
Tienda 1;2019-03-28;186;100;Tienda 1_20190328
Tienda 1;2019-03-29;511;91;Tienda 1_20190329
Tienda 1;2019-03-30;96;48;Tienda 1_20190330
Tienda 1;2019-03-31;306;160;Tienda 1_20190331
Tienda 1;2019-04-01;241;187;Tienda 1_20190401
Tienda 1;2019-04-02;883;176;Tienda 1_20190402
Tienda 1;2019-04-03;405;101;Tienda 1_20190403
Tienda 1;2019-04-04;74;31;Tienda 1_20190404
Tienda 1;2019-04-05;315;131;Tienda 1_20190405
Tienda 1;2019-04-06;116;80;Tienda 1_20190406
Tienda 1;2019-04-07;394;72;Tienda 1_20190407
Tienda 1;2019-04-08;112;53;Tienda 1_20190408
Tienda 1;2019-04-09;136;55;Tienda 1_20190409
Tienda 1;2019-04-10;381;81;Tienda 1_20190410
Tienda 1;2019-04-11;734;170;Tienda 1_20190411
Tienda 1;2019-04-12;281;89;Tienda 1_20190412
Tienda 1;2019-04-13;643;155;Tienda 1_20190413
Tienda 1;2019-04-14;1690;291;Tienda 1_20190414
Tienda 1;2019-04-15;233;36;Tienda 1_20190415
Tienda 1;2019-04-16;193;37;Tienda 1_20190416
Tienda 1;2019-04-17;93;43;Tienda 1_20190417
Tienda 1;2019-04-18;85;26;Tienda 1_20190418
Tienda 1;2019-04-19;337;120;Tienda 1_20190419
Tienda 1;2019-04-20;165;66;Tienda 1_20190420
Tienda 1;2019-04-21;586;121;Tienda 1_20190421
Tienda 1;2019-04-22;1048;219;Tienda 1_20190422
Tienda 1;2019-04-23;317;141;Tienda 1_20190423
Tienda 1;2019-04-24;95;47;Tienda 1_20190424
Tienda 1;2019-04-25;1211;224;Tienda 1_20190425
Tienda 1;2019-04-26;316;88;Tienda 1_20190426
Tienda 1;2019-04-27;238;117;Tienda 1_20190427
Tienda 1;2019-04-28;303;155;Tienda 1_20190428
Tienda 1;2019-04-29;180;119;Tienda 1_20190429
Tienda 1;2019-04-30;90;33;Tienda 1_20190430
Tienda 1;2019-05-01;523;204;Tienda 1_20190501
Tienda 1;2019-05-02;451;176;Tienda 1_20190502
Tienda 1;2019-05-03;434;72;Tienda 1_20190503
Tienda 1;2019-05-04;40;20;Tienda 1_20190504
Tienda 1;2019-05-05;209;74;Tienda 1_20190505
Tienda 1;2019-05-06;67;52;Tienda 1_20190506
Tienda 1;2019-05-07;200;66;Tienda 1_20190507
Tienda 1;2019-05-08;80;25;Tienda 1_20190508
Tienda 1;2019-05-09;101;61;Tienda 1_20190509
Tienda 1;2019-05-10;778;165;Tienda 1_20190510
Tienda 1;2019-05-11;145;91;Tienda 1_20190511
Tienda 1;2019-05-12;80;32;Tienda 1_20190512
Tienda 1;2019-05-13;442;98;Tienda 1_20190513
Tienda 1;2019-05-14;529;155;Tienda 1_20190514
Tienda 1;2019-05-15;495;150;Tienda 1_20190515
Tienda 1;2019-05-16;150;46;Tienda 1_20190516
Tienda 1;2019-05-17;647;211;Tienda 1_20190517
Tienda 1;2019-05-18;90;45;Tienda 1_20190518
Tienda 1;2019-05-19;898;196;Tienda 1_20190519
Tienda 1;2019-05-20;51;29;Tienda 1_20190520
Tienda 1;2019-05-21;395;95;Tienda 1_20190521
Tienda 1;2019-05-22;356;84;Tienda 1_20190522
Tienda 1;2019-05-23;106;21;Tienda 1_20190523
Tienda 1;2019-05-24;1070;294;Tienda 1_20190524
Tienda 1;2019-05-25;544;255;Tienda 1_20190525
Tienda 1;2019-05-26;72;23;Tienda 1_20190526
Tienda 1;2019-05-27;271;139;Tienda 1_20190527
Tienda 1;2019-05-28;793;165;Tienda 1_20190528
Tienda 1;2019-05-29;45;20;Tienda 1_20190529
Tienda 1;2019-05-30;252;49;Tienda 1_20190530
Tienda 1;2019-05-31;746;219;Tienda 1_20190531
Tienda 1;2019-06-01;17;11;Tienda 1_20190601
Tienda 1;2019-06-02;503;109;Tienda 1_20190602
Tienda 1;2019-06-03;168;26;Tienda 1_20190603
Tienda 1;2019-06-04;541;260;Tienda 1_20190604
Tienda 1;2019-06-05;336;108;Tienda 1_20190605
Tienda 1;2019-06-06;158;40;Tienda 1_20190606
Tienda 1;2019-06-07;868;156;Tienda 1_20190607
Tienda 1;2019-06-08;278;67;Tienda 1_20190608
Tienda 1;2019-06-09;66;42;Tienda 1_20190609
Tienda 1;2019-06-10;163;136;Tienda 1_20190610
Tienda 1;2019-06-11;202;95;Tienda 1_20190611
Tienda 1;2019-06-12;391;66;Tienda 1_20190612
Tienda 1;2019-06-13;632;159;Tienda 1_20190613
Tienda 1;2019-06-14;476;199;Tienda 1_20190614
Tienda 1;2019-06-15;170;120;Tienda 1_20190615
Tienda 1;2019-06-16;494;275;Tienda 1_20190616
Tienda 1;2019-06-17;363;254;Tienda 1_20190617
Tienda 1;2019-06-18;764;125;Tienda 1_20190618
Tienda 1;2019-06-19;256;98;Tienda 1_20190619
Tienda 1;2019-06-20;471;130;Tienda 1_20190620
Tienda 1;2019-06-21;108;35;Tienda 1_20190621
Tienda 1;2019-06-22;272;46;Tienda 1_20190622
Tienda 1;2019-06-23;26;13;Tienda 1_20190623
Tienda 1;2019-06-24;226;91;Tienda 1_20190624
Tienda 1;2019-06-25;540;186;Tienda 1_20190625
Tienda 1;2019-06-26;150;33;Tienda 1_20190626
Tienda 1;2019-06-27;233;47;Tienda 1_20190627
Tienda 1;2019-06-28;260;46;Tienda 1_20190628
Tienda 1;2019-06-29;505;188;Tienda 1_20190629
Tienda 1;2019-06-30;43;19;Tienda 1_20190630
Tienda 1;2019-07-01;1458;248;Tienda 1_20190701
Tienda 1;2019-07-02;571;167;Tienda 1_20190702
Tienda 1;2019-07-03;225;88;Tienda 1_20190703
Tienda 1;2019-07-04;782;207;Tienda 1_20190704
Tienda 1;2019-07-05;152;51;Tienda 1_20190705
Tienda 1;2019-07-06;131;48;Tienda 1_20190706
Tienda 1;2019-07-07;360;203;Tienda 1_20190707
Tienda 1;2019-07-08;547;110;Tienda 1_20190708
Tienda 1;2019-07-09;453;217;Tienda 1_20190709
Tienda 1;2019-07-10;48;25;Tienda 1_20190710
Tienda 1;2019-07-11;589;274;Tienda 1_20190711
Tienda 1;2019-07-12;328;151;Tienda 1_20190712
Tienda 1;2019-07-13;199;89;Tienda 1_20190713
Tienda 1;2019-07-14;220;105;Tienda 1_20190714
Tienda 1;2019-07-15;578;157;Tienda 1_20190715
Tienda 1;2019-07-16;59;34;Tienda 1_20190716
Tienda 1;2019-07-17;355;116;Tienda 1_20190717
Tienda 1;2019-07-18;226;138;Tienda 1_20190718
Tienda 1;2019-07-19;219;46;Tienda 1_20190719
Tienda 1;2019-07-20;62;18;Tienda 1_20190720
Tienda 1;2019-07-21;555;181;Tienda 1_20190721
Tienda 1;2019-07-22;139;49;Tienda 1_20190722
Tienda 1;2019-07-23;80;32;Tienda 1_20190723
Tienda 1;2019-07-24;99;43;Tienda 1_20190724
Tienda 1;2019-07-25;905;147;Tienda 1_20190725
Tienda 1;2019-07-26;43;21;Tienda 1_20190726
Tienda 1;2019-07-27;815;300;Tienda 1_20190727
Tienda 1;2019-07-28;1042;275;Tienda 1_20190728
Tienda 1;2019-07-29;209;52;Tienda 1_20190729
Tienda 1;2019-07-30;200;52;Tienda 1_20190730
Tienda 1;2019-07-31;685;152;Tienda 1_20190731
Tienda 1;2019-08-01;257;119;Tienda 1_20190801
Tienda 1;2019-08-02;75;34;Tienda 1_20190802
Tienda 1;2019-08-03;201;62;Tienda 1_20190803
Tienda 1;2019-08-04;119;44;Tienda 1_20190804
Tienda 1;2019-08-05;444;210;Tienda 1_20190805
Tienda 1;2019-08-06;615;114;Tienda 1_20190806
Tienda 1;2019-08-07;129;22;Tienda 1_20190807
Tienda 1;2019-08-08;751;221;Tienda 1_20190808
Tienda 1;2019-08-09;92;25;Tienda 1_20190809
Tienda 1;2019-08-10;50;25;Tienda 1_20190810
Tienda 1;2019-08-11;87;34;Tienda 1_20190811
Tienda 1;2019-08-12;52;16;Tienda 1_20190812
Tienda 1;2019-08-13;104;32;Tienda 1_20190813
Tienda 1;2019-08-14;356;79;Tienda 1_20190814
Tienda 1;2019-08-15;150;41;Tienda 1_20190815
Tienda 1;2019-08-16;128;63;Tienda 1_20190816
Tienda 1;2019-08-17;272;137;Tienda 1_20190817
Tienda 1;2019-08-18;489;211;Tienda 1_20190818
Tienda 1;2019-08-19;350;189;Tienda 1_20190819
Tienda 1;2019-08-20;462;278;Tienda 1_20190820
Tienda 1;2019-08-21;50;12;Tienda 1_20190821
Tienda 1;2019-08-22;736;179;Tienda 1_20190822
Tienda 1;2019-08-23;566;185;Tienda 1_20190823
Tienda 1;2019-08-24;30;8;Tienda 1_20190824
Tienda 1;2019-08-25;493;139;Tienda 1_20190825
Tienda 1;2019-08-26;528;96;Tienda 1_20190826
Tienda 1;2019-08-27;108;54;Tienda 1_20190827
Tienda 1;2019-08-28;310;131;Tienda 1_20190828
Tienda 1;2019-08-29;463;182;Tienda 1_20190829
Tienda 1;2019-08-30;73;27;Tienda 1_20190830
Tienda 1;2019-08-31;125;67;Tienda 1_20190831
Tienda 1;2019-09-01;410;110;Tienda 1_20190901
Tienda 1;2019-09-02;1003;200;Tienda 1_20190902
Tienda 1;2019-09-03;396;143;Tienda 1_20190903
Tienda 1;2019-09-04;133;24;Tienda 1_20190904
Tienda 1;2019-09-05;572;127;Tienda 1_20190905
Tienda 1;2019-09-06;544;80;Tienda 1_20190906
Tienda 1;2019-09-07;613;232;Tienda 1_20190907
Tienda 1;2019-09-08;368;226;Tienda 1_20190908
Tienda 1;2019-09-09;264;93;Tienda 1_20190909
Tienda 1;2019-09-10;184;92;Tienda 1_20190910
Tienda 1;2019-09-11;833;177;Tienda 1_20190911
Tienda 1;2019-09-12;298;152;Tienda 1_20190912
Tienda 1;2019-09-13;756;157;Tienda 1_20190913
Tienda 1;2019-09-14;538;150;Tienda 1_20190914
Tienda 1;2019-09-15;710;248;Tienda 1_20190915
Tienda 1;2019-09-16;207;112;Tienda 1_20190916
Tienda 1;2019-09-17;73;18;Tienda 1_20190917
Tienda 1;2019-09-18;719;163;Tienda 1_20190918
Tienda 1;2019-09-19;561;263;Tienda 1_20190919
Tienda 1;2019-09-20;173;63;Tienda 1_20190920
Tienda 1;2019-09-21;177;44;Tienda 1_20190921
Tienda 1;2019-09-22;203;109;Tienda 1_20190922
Tienda 1;2019-09-23;317;74;Tienda 1_20190923
Tienda 1;2019-09-24;194;76;Tienda 1_20190924
Tienda 1;2019-09-25;151;64;Tienda 1_20190925
Tienda 1;2019-09-26;412;203;Tienda 1_20190926
Tienda 1;2019-09-27;160;69;Tienda 1_20190927
Tienda 1;2019-09-28;1222;243;Tienda 1_20190928
Tienda 1;2019-09-29;834;159;Tienda 1_20190929
Tienda 1;2019-09-30;936;274;Tienda 1_20190930
Tienda 1;2019-10-01;224;124;Tienda 1_20191001
Tienda 1;2019-10-02;47;16;Tienda 1_20191002
Tienda 1;2019-10-03;44;16;Tienda 1_20191003
Tienda 1;2019-10-04;286;61;Tienda 1_20191004
Tienda 1;2019-10-05;453;134;Tienda 1_20191005
Tienda 1;2019-10-06;363;109;Tienda 1_20191006
Tienda 1;2019-10-07;332;208;Tienda 1_20191007
Tienda 1;2019-10-08;45;22;Tienda 1_20191008
Tienda 1;2019-10-09;798;171;Tienda 1_20191009
Tienda 1;2019-10-10;450;121;Tienda 1_20191010
Tienda 1;2019-10-11;376;188;Tienda 1_20191011
Tienda 1;2019-10-12;359;121;Tienda 1_20191012
Tienda 1;2019-10-13;476;141;Tienda 1_20191013
Tienda 1;2019-10-14;793;253;Tienda 1_20191014
Tienda 1;2019-10-15;855;249;Tienda 1_20191015
Tienda 1;2019-10-16;741;130;Tienda 1_20191016
Tienda 1;2019-10-17;100;44;Tienda 1_20191017
Tienda 1;2019-10-18;101;32;Tienda 1_20191018
Tienda 1;2019-10-19;325;176;Tienda 1_20191019
Tienda 1;2019-10-20;737;112;Tienda 1_20191020
Tienda 1;2019-10-21;94;48;Tienda 1_20191021
Tienda 1;2019-10-22;305;56;Tienda 1_20191022
Tienda 1;2019-10-23;331;90;Tienda 1_20191023
Tienda 1;2019-10-24;265;104;Tienda 1_20191024
Tienda 1;2019-10-25;268;181;Tienda 1_20191025
Tienda 1;2019-10-26;874;220;Tienda 1_20191026
Tienda 1;2019-10-27;403;149;Tienda 1_20191027
Tienda 1;2019-10-28;96;35;Tienda 1_20191028
Tienda 1;2019-10-29;509;201;Tienda 1_20191029
Tienda 1;2019-10-30;547;167;Tienda 1_20191030
Tienda 1;2019-10-31;170;46;Tienda 1_20191031
Tienda 1;2019-11-01;108;44;Tienda 1_20191101
Tienda 1;2019-11-02;66;33;Tienda 1_20191102
Tienda 1;2019-11-03;478;236;Tienda 1_20191103
Tienda 1;2019-11-04;232;127;Tienda 1_20191104
Tienda 1;2019-11-05;173;35;Tienda 1_20191105
Tienda 1;2019-11-06;434;223;Tienda 1_20191106
Tienda 1;2019-11-07;361;158;Tienda 1_20191107
Tienda 1;2019-11-08;213;132;Tienda 1_20191108
Tienda 1;2019-11-09;34;17;Tienda 1_20191109
Tienda 1;2019-11-10;103;61;Tienda 1_20191110
Tienda 1;2019-11-11;407;75;Tienda 1_20191111
Tienda 1;2019-11-12;93;44;Tienda 1_20191112
Tienda 1;2019-11-13;321;69;Tienda 1_20191113
Tienda 1;2019-11-14;85;33;Tienda 1_20191114
Tienda 1;2019-11-15;43;20;Tienda 1_20191115
Tienda 1;2019-11-16;102;31;Tienda 1_20191116
Tienda 1;2019-11-17;437;135;Tienda 1_20191117
Tienda 1;2019-11-18;295;99;Tienda 1_20191118
Tienda 1;2019-11-19;291;193;Tienda 1_20191119
Tienda 1;2019-11-20;146;92;Tienda 1_20191120
Tienda 1;2019-11-21;295;69;Tienda 1_20191121
Tienda 1;2019-11-22;310;123;Tienda 1_20191122
Tienda 1;2019-11-23;106;44;Tienda 1_20191123
Tienda 1;2019-11-24;196;39;Tienda 1_20191124
Tienda 1;2019-11-25;287;68;Tienda 1_20191125
Tienda 1;2019-11-26;563;166;Tienda 1_20191126
Tienda 1;2019-11-27;330;68;Tienda 1_20191127
Tienda 1;2019-11-28;77;46;Tienda 1_20191128
Tienda 1;2019-11-29;467;133;Tienda 1_20191129
Tienda 1;2019-11-30;366;130;Tienda 1_20191130
Tienda 1;2019-12-01;151;33;Tienda 1_20191201
Tienda 1;2019-12-02;191;72;Tienda 1_20191202
Tienda 1;2019-12-03;322;62;Tienda 1_20191203
Tienda 1;2019-12-04;669;132;Tienda 1_20191204
Tienda 1;2019-12-05;406;63;Tienda 1_20191205
Tienda 1;2019-12-06;611;115;Tienda 1_20191206
Tienda 1;2019-12-07;521;123;Tienda 1_20191207
Tienda 1;2019-12-08;32;16;Tienda 1_20191208
Tienda 1;2019-12-09;99;46;Tienda 1_20191209
Tienda 1;2019-12-10;616;161;Tienda 1_20191210
Tienda 1;2019-12-11;94;47;Tienda 1_20191211
Tienda 1;2019-12-12;24;9;Tienda 1_20191212
Tienda 1;2019-12-13;1117;224;Tienda 1_20191213
Tienda 1;2019-12-14;1080;177;Tienda 1_20191214
Tienda 1;2019-12-15;194;34;Tienda 1_20191215
Tienda 1;2019-12-16;153;57;Tienda 1_20191216
Tienda 1;2019-12-17;150;31;Tienda 1_20191217
Tienda 1;2019-12-18;926;225;Tienda 1_20191218
Tienda 1;2019-12-19;280;75;Tienda 1_20191219
Tienda 1;2019-12-20;623;115;Tienda 1_20191220
Tienda 1;2019-12-21;214;132;Tienda 1_20191221
Tienda 1;2019-12-22;383;145;Tienda 1_20191222
Tienda 1;2019-12-23;240;83;Tienda 1_20191223
Tienda 1;2019-12-24;144;71;Tienda 1_20191224
Tienda 1;2019-12-25;886;213;Tienda 1_20191225
Tienda 1;2019-12-26;799;135;Tienda 1_20191226
Tienda 1;2019-12-27;347;69;Tienda 1_20191227
Tienda 1;2019-12-28;256;132;Tienda 1_20191228
Tienda 1;2019-12-29;1311;252;Tienda 1_20191229
Tienda 1;2019-12-30;449;248;Tienda 1_20191230
Tienda 1;2019-12-31;187;58;Tienda 1_20191231
Tienda 2;2019-01-01;123;46;Tienda 2_20190101
Tienda 2;2019-01-02;421;180;Tienda 2_20190102
Tienda 2;2019-01-03;135;92;Tienda 2_20190103
Tienda 2;2019-01-04;595;174;Tienda 2_20190104
Tienda 2;2019-01-05;139;31;Tienda 2_20190105
Tienda 2;2019-01-06;475;123;Tienda 2_20190106
Tienda 2;2019-01-07;493;235;Tienda 2_20190107
Tienda 2;2019-01-08;160;37;Tienda 2_20190108
Tienda 2;2019-01-09;293;126;Tienda 2_20190109
Tienda 2;2019-01-10;317;72;Tienda 2_20190110
Tienda 2;2019-01-11;484;243;Tienda 2_20190111
Tienda 2;2019-01-12;426;113;Tienda 2_20190112
Tienda 2;2019-01-13;264;79;Tienda 2_20190113
Tienda 2;2019-01-14;172;66;Tienda 2_20190114
Tienda 2;2019-01-15;322;171;Tienda 2_20190115
Tienda 2;2019-01-16;146;70;Tienda 2_20190116
Tienda 2;2019-01-17;526;102;Tienda 2_20190117
Tienda 2;2019-01-18;45;16;Tienda 2_20190118
Tienda 2;2019-01-19;387;80;Tienda 2_20190119
Tienda 2;2019-01-20;322;66;Tienda 2_20190120
Tienda 2;2019-01-21;407;212;Tienda 2_20190121
Tienda 2;2019-01-22;128;41;Tienda 2_20190122
Tienda 2;2019-01-23;642;246;Tienda 2_20190123
Tienda 2;2019-01-24;60;38;Tienda 2_20190124
Tienda 2;2019-01-25;600;115;Tienda 2_20190125
Tienda 2;2019-01-26;856;204;Tienda 2_20190126
Tienda 2;2019-01-27;119;61;Tienda 2_20190127
Tienda 2;2019-01-28;197;63;Tienda 2_20190128
Tienda 2;2019-01-29;267;136;Tienda 2_20190129
Tienda 2;2019-01-30;74;28;Tienda 2_20190130
Tienda 2;2019-01-31;476;194;Tienda 2_20190131
Tienda 2;2019-02-01;34;19;Tienda 2_20190201
Tienda 2;2019-02-02;647;186;Tienda 2_20190202
Tienda 2;2019-02-03;96;55;Tienda 2_20190203
Tienda 2;2019-02-04;376;182;Tienda 2_20190204
Tienda 2;2019-02-05;404;196;Tienda 2_20190205
Tienda 2;2019-02-06;71;21;Tienda 2_20190206
Tienda 2;2019-02-07;584;123;Tienda 2_20190207
Tienda 2;2019-02-08;21;7;Tienda 2_20190208
Tienda 2;2019-02-09;201;93;Tienda 2_20190209
Tienda 2;2019-02-10;217;111;Tienda 2_20190210
Tienda 2;2019-02-11;139;36;Tienda 2_20190211
Tienda 2;2019-02-12;142;38;Tienda 2_20190212
Tienda 2;2019-02-13;160;68;Tienda 2_20190213
Tienda 2;2019-02-14;287;132;Tienda 2_20190214
Tienda 2;2019-02-15;291;101;Tienda 2_20190215
Tienda 2;2019-02-16;147;45;Tienda 2_20190216
Tienda 2;2019-02-17;765;150;Tienda 2_20190217
Tienda 2;2019-02-18;134;100;Tienda 2_20190218
Tienda 2;2019-02-19;53;42;Tienda 2_20190219
Tienda 2;2019-02-20;206;67;Tienda 2_20190220
Tienda 2;2019-02-21;190;61;Tienda 2_20190221
Tienda 2;2019-02-22;160;92;Tienda 2_20190222
Tienda 2;2019-02-23;333;171;Tienda 2_20190223
Tienda 2;2019-02-24;50;14;Tienda 2_20190224
Tienda 2;2019-02-25;320;141;Tienda 2_20190225
Tienda 2;2019-02-26;34;15;Tienda 2_20190226
Tienda 2;2019-02-27;82;33;Tienda 2_20190227
Tienda 2;2019-02-28;338;154;Tienda 2_20190228
Tienda 2;2019-03-01;170;38;Tienda 2_20190301
Tienda 2;2019-03-02;110;49;Tienda 2_20190302
Tienda 2;2019-03-03;710;146;Tienda 2_20190303
Tienda 2;2019-03-04;238;113;Tienda 2_20190304
Tienda 2;2019-03-05;252;91;Tienda 2_20190305
Tienda 2;2019-03-06;262;66;Tienda 2_20190306
Tienda 2;2019-03-07;728;219;Tienda 2_20190307
Tienda 2;2019-03-08;710;129;Tienda 2_20190308
Tienda 2;2019-03-09;556;123;Tienda 2_20190309
Tienda 2;2019-03-10;81;51;Tienda 2_20190310
Tienda 2;2019-03-11;342;97;Tienda 2_20190311
Tienda 2;2019-03-12;594;269;Tienda 2_20190312
Tienda 2;2019-03-13;223;124;Tienda 2_20190313
Tienda 2;2019-03-14;964;223;Tienda 2_20190314
Tienda 2;2019-03-15;460;211;Tienda 2_20190315
Tienda 2;2019-03-16;507;121;Tienda 2_20190316
Tienda 2;2019-03-17;265;93;Tienda 2_20190317
Tienda 2;2019-03-18;287;119;Tienda 2_20190318
Tienda 2;2019-03-19;154;50;Tienda 2_20190319
Tienda 2;2019-03-20;340;112;Tienda 2_20190320
Tienda 2;2019-03-21;965;173;Tienda 2_20190321
Tienda 2;2019-03-22;53;23;Tienda 2_20190322
Tienda 2;2019-03-23;77;16;Tienda 2_20190323
Tienda 2;2019-03-24;225;82;Tienda 2_20190324
Tienda 2;2019-03-25;261;74;Tienda 2_20190325
Tienda 2;2019-03-26;368;117;Tienda 2_20190326
Tienda 2;2019-03-27;313;103;Tienda 2_20190327
Tienda 2;2019-03-28;193;75;Tienda 2_20190328
Tienda 2;2019-03-29;219;97;Tienda 2_20190329
Tienda 2;2019-03-30;312;113;Tienda 2_20190330
Tienda 2;2019-03-31;757;153;Tienda 2_20190331
Tienda 2;2019-04-01;81;28;Tienda 2_20190401
Tienda 2;2019-04-02;245;110;Tienda 2_20190402
Tienda 2;2019-04-03;372;105;Tienda 2_20190403
Tienda 2;2019-04-04;352;179;Tienda 2_20190404
Tienda 2;2019-04-05;301;133;Tienda 2_20190405
Tienda 2;2019-04-06;232;54;Tienda 2_20190406
Tienda 2;2019-04-07;959;178;Tienda 2_20190407
Tienda 2;2019-04-08;66;48;Tienda 2_20190408
Tienda 2;2019-04-09;374;180;Tienda 2_20190409
Tienda 2;2019-04-10;376;165;Tienda 2_20190410
Tienda 2;2019-04-11;682;121;Tienda 2_20190411
Tienda 2;2019-04-12;130;72;Tienda 2_20190412
Tienda 2;2019-04-13;361;119;Tienda 2_20190413
Tienda 2;2019-04-14;85;46;Tienda 2_20190414
Tienda 2;2019-04-15;237;63;Tienda 2_20190415
Tienda 2;2019-04-16;338;71;Tienda 2_20190416
Tienda 2;2019-04-17;174;93;Tienda 2_20190417
Tienda 2;2019-04-18;121;81;Tienda 2_20190418
Tienda 2;2019-04-19;413;226;Tienda 2_20190419
Tienda 2;2019-04-20;149;94;Tienda 2_20190420
Tienda 2;2019-04-21;265;148;Tienda 2_20190421
Tienda 2;2019-04-22;437;121;Tienda 2_20190422
Tienda 2;2019-04-23;60;20;Tienda 2_20190423
Tienda 2;2019-04-24;113;79;Tienda 2_20190424
