CLIENTE_ID;EDAD;SEXO;PROVINCIA_ID;RANGO_EDAD;KEY_POBLACION
Cliente 37;45;MUJER;15;45_49;MUJER_15_45_49
Cliente 38;27;MUJER;32;25_29;MUJER_32_25_29
Cliente 39;27;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 40;60;MUJER;36;60_64;MUJER_36_60_64
Cliente 41;32;MUJER;15;30_34;MUJER_15_30_34
Cliente 42;19;MUJER;36;15_19;MUJER_36_15_19
Cliente 43;21;MUJER;36;20_24;MUJER_36_20_24
Cliente 44;26;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 45;51;HOMBRE;15;50_54;HOMBRE_15_50_54
Cliente 46;35;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 47;59;MUJER;15;55_59;MUJER_15_55_59
Cliente 48;42;MUJER;15;40_44;MUJER_15_40_44
Cliente 49;54;MUJER;36;50_54;MUJER_36_50_54
Cliente 50;36;MUJER;27;35_39;MUJER_27_35_39
Cliente 51;42;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 52;38;MUJER;15;35_39;MUJER_15_35_39
Cliente 53;38;MUJER;36;35_39;MUJER_36_35_39
Cliente 54;46;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 55;53;MUJER;36;50_54;MUJER_36_50_54
Cliente 56;66;HOMBRE;15;65_69;HOMBRE_15_65_69
Cliente 57;33;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 58;19;HOMBRE;36;15_19;HOMBRE_36_15_19
Cliente 59;37;MUJER;32;35_39;MUJER_32_35_39
Cliente 60;40;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 61;53;MUJER;32;50_54;MUJER_32_50_54
Cliente 62;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 63;30;MUJER;36;30_34;MUJER_36_30_34
Cliente 64;43;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 65;37;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 66;28;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 67;51;MUJER;15;50_54;MUJER_15_50_54
Cliente 68;26;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 69;39;MUJER;15;35_39;MUJER_15_35_39
Cliente 70;37;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 71;34;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 72;49;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 73;32;MUJER;15;30_34;MUJER_15_30_34
Cliente 74;52;MUJER;15;50_54;MUJER_15_50_54
Cliente 75;62;HOMBRE;36;60_64;HOMBRE_36_60_64
Cliente 76;39;MUJER;32;35_39;MUJER_32_35_39
Cliente 77;30;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 78;49;HOMBRE;32;45_49;HOMBRE_32_45_49
Cliente 79;27;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 80;61;HOMBRE;15;60_64;HOMBRE_15_60_64
Cliente 81;36;MUJER;36;35_39;MUJER_36_35_39
Cliente 82;45;MUJER;27;45_49;MUJER_27_45_49
Cliente 83;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 84;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 85;38;MUJER;15;35_39;MUJER_15_35_39
Cliente 86;29;MUJER;15;25_29;MUJER_15_25_29
Cliente 87;32;MUJER;32;30_34;MUJER_32_30_34
Cliente 88;38;MUJER;36;35_39;MUJER_36_35_39
Cliente 89;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 90;46;MUJER;15;45_49;MUJER_15_45_49
Cliente 91;66;MUJER;15;65_69;MUJER_15_65_69
Cliente 92;35;MUJER;36;35_39;MUJER_36_35_39
Cliente 93;38;MUJER;36;35_39;MUJER_36_35_39
Cliente 94;24;MUJER;32;20_24;MUJER_32_20_24
Cliente 95;48;MUJER;36;45_49;MUJER_36_45_49
Cliente 96;47;MUJER;36;45_49;MUJER_36_45_49
Cliente 97;22;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 98;36;MUJER;36;35_39;MUJER_36_35_39
Cliente 99;42;MUJER;15;40_44;MUJER_15_40_44
Cliente 100;46;MUJER;27;45_49;MUJER_27_45_49
Cliente 101;58;HOMBRE;36;55_59;HOMBRE_36_55_59
Cliente 102;37;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 103;50;MUJER;36;50_54;MUJER_36_50_54
Cliente 104;23;MUJER;15;20_24;MUJER_15_20_24
Cliente 105;21;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 106;53;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 107;41;HOMBRE;27;40_44;HOMBRE_27_40_44
Cliente 108;48;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 109;27;MUJER;15;25_29;MUJER_15_25_29
Cliente 110;28;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 111;30;MUJER;36;30_34;MUJER_36_30_34
Cliente 112;26;HOMBRE;32;25_29;HOMBRE_32_25_29
Cliente 113;21;MUJER;32;20_24;MUJER_32_20_24
Cliente 114;22;MUJER;27;20_24;MUJER_27_20_24
Cliente 115;32;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 116;35;MUJER;36;35_39;MUJER_36_35_39
Cliente 117;68;MUJER;15;65_69;MUJER_15_65_69
Cliente 118;29;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 119;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 120;38;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 121;19;MUJER;36;15_19;MUJER_36_15_19
Cliente 122;32;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 123;30;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 124;19;MUJER;36;15_19;MUJER_36_15_19
Cliente 125;29;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 126;30;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 127;32;MUJER;15;30_34;MUJER_15_30_34
Cliente 128;62;MUJER;15;60_64;MUJER_15_60_64
Cliente 129;50;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 130;42;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 131;43;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 132;24;MUJER;36;20_24;MUJER_36_20_24
Cliente 133;31;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 134;44;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 135;37;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 136;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 137;61;MUJER;36;60_64;MUJER_36_60_64
Cliente 138;38;HOMBRE;27;35_39;HOMBRE_27_35_39
Cliente 139;23;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 140;34;MUJER;36;30_34;MUJER_36_30_34
Cliente 141;34;MUJER;36;30_34;MUJER_36_30_34
Cliente 142;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 143;51;HOMBRE;27;50_54;HOMBRE_27_50_54
Cliente 144;49;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 145;35;MUJER;15;35_39;MUJER_15_35_39
Cliente 146;29;MUJER;15;25_29;MUJER_15_25_29
Cliente 147;29;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 148;48;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 149;50;HOMBRE;15;50_54;HOMBRE_15_50_54
Cliente 150;50;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 151;36;MUJER;15;35_39;MUJER_15_35_39
Cliente 152;25;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 153;30;MUJER;15;30_34;MUJER_15_30_34
Cliente 154;26;HOMBRE;27;25_29;HOMBRE_27_25_29
Cliente 155;32;HOMBRE;32;30_34;HOMBRE_32_30_34
Cliente 156;27;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 157;21;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 158;45;MUJER;15;45_49;MUJER_15_45_49
Cliente 159;62;HOMBRE;36;60_64;HOMBRE_36_60_64
Cliente 160;30;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 161;57;HOMBRE;15;55_59;HOMBRE_15_55_59
Cliente 162;56;MUJER;15;55_59;MUJER_15_55_59
Cliente 163;41;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 164;49;MUJER;36;45_49;MUJER_36_45_49
Cliente 165;47;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 166;23;MUJER;36;20_24;MUJER_36_20_24
Cliente 167;37;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 168;41;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 169;34;MUJER;15;30_34;MUJER_15_30_34
Cliente 170;42;MUJER;27;40_44;MUJER_27_40_44
Cliente 171;23;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 172;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 173;50;MUJER;27;50_54;MUJER_27_50_54
Cliente 174;31;MUJER;27;30_34;MUJER_27_30_34
Cliente 175;43;HOMBRE;32;40_44;HOMBRE_32_40_44
Cliente 176;39;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 177;54;HOMBRE;32;50_54;HOMBRE_32_50_54
Cliente 178;35;MUJER;15;35_39;MUJER_15_35_39
Cliente 179;40;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 180;43;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 181;35;MUJER;36;35_39;MUJER_36_35_39
Cliente 182;36;MUJER;36;35_39;MUJER_36_35_39
Cliente 183;24;MUJER;36;20_24;MUJER_36_20_24
Cliente 184;30;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 185;41;MUJER;36;40_44;MUJER_36_40_44
Cliente 186;30;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 187;38;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 188;23;HOMBRE;27;20_24;HOMBRE_27_20_24
Cliente 189;55;MUJER;36;55_59;MUJER_36_55_59
Cliente 190;61;MUJER;36;60_64;MUJER_36_60_64
Cliente 191;30;HOMBRE;27;30_34;HOMBRE_27_30_34
Cliente 192;35;HOMBRE;27;35_39;HOMBRE_27_35_39
Cliente 193;62;HOMBRE;36;60_64;HOMBRE_36_60_64
Cliente 194;44;MUJER;15;40_44;MUJER_15_40_44
Cliente 195;67;MUJER;15;65_69;MUJER_15_65_69
Cliente 196;42;MUJER;36;40_44;MUJER_36_40_44
Cliente 197;35;MUJER;36;35_39;MUJER_36_35_39
Cliente 198;38;HOMBRE;27;35_39;HOMBRE_27_35_39
Cliente 199;21;MUJER;15;20_24;MUJER_15_20_24
Cliente 200;50;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 201;25;MUJER;15;25_29;MUJER_15_25_29
Cliente 202;61;MUJER;36;60_64;MUJER_36_60_64
Cliente 203;62;HOMBRE;15;60_64;HOMBRE_15_60_64
Cliente 204;35;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 205;39;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 206;26;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 207;50;HOMBRE;32;50_54;HOMBRE_32_50_54
Cliente 208;24;HOMBRE;15;20_24;HOMBRE_15_20_24
Cliente 209;28;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 210;22;HOMBRE;15;20_24;HOMBRE_15_20_24
Cliente 211;31;MUJER;15;30_34;MUJER_15_30_34
Cliente 212;40;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 213;26;HOMBRE;27;25_29;HOMBRE_27_25_29
Cliente 214;33;MUJER;36;30_34;MUJER_36_30_34
Cliente 215;33;MUJER;15;30_34;MUJER_15_30_34
Cliente 216;50;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 217;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 218;29;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 219;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 220;27;MUJER;36;25_29;MUJER_36_25_29
Cliente 221;33;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 222;38;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 223;42;HOMBRE;32;40_44;HOMBRE_32_40_44
Cliente 224;19;HOMBRE;27;15_19;HOMBRE_27_15_19
Cliente 225;26;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 226;33;MUJER;32;30_34;MUJER_32_30_34
Cliente 227;48;HOMBRE;27;45_49;HOMBRE_27_45_49
Cliente 228;45;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 229;28;MUJER;27;25_29;MUJER_27_25_29
Cliente 230;38;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 231;50;MUJER;15;50_54;MUJER_15_50_54
Cliente 232;41;HOMBRE;32;40_44;HOMBRE_32_40_44
Cliente 233;31;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 234;50;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 235;25;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 236;64;HOMBRE;32;60_64;HOMBRE_32_60_64
Cliente 237;29;MUJER;36;25_29;MUJER_36_25_29
Cliente 238;33;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 239;60;MUJER;15;60_64;MUJER_15_60_64
Cliente 240;57;HOMBRE;27;55_59;HOMBRE_27_55_59
Cliente 241;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 242;29;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 243;37;HOMBRE;27;35_39;HOMBRE_27_35_39
Cliente 244;24;HOMBRE;27;20_24;HOMBRE_27_20_24
Cliente 245;46;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 246;41;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 247;25;HOMBRE;32;25_29;HOMBRE_32_25_29
Cliente 248;50;HOMBRE;15;50_54;HOMBRE_15_50_54
Cliente 249;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 250;26;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 251;44;MUJER;36;40_44;MUJER_36_40_44
Cliente 252;37;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 253;27;MUJER;15;25_29;MUJER_15_25_29
Cliente 254;20;MUJER;36;20_24;MUJER_36_20_24
Cliente 255;37;MUJER;36;35_39;MUJER_36_35_39
Cliente 256;32;HOMBRE;27;30_34;HOMBRE_27_30_34
Cliente 257;60;HOMBRE;32;60_64;HOMBRE_32_60_64
Cliente 258;23;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 259;38;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 260;43;MUJER;15;40_44;MUJER_15_40_44
Cliente 261;57;HOMBRE;15;55_59;HOMBRE_15_55_59
Cliente 262;29;MUJER;36;25_29;MUJER_36_25_29
Cliente 263;37;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 264;34;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 265;29;MUJER;36;25_29;MUJER_36_25_29
Cliente 266;33;MUJER;15;30_34;MUJER_15_30_34
Cliente 267;31;MUJER;36;30_34;MUJER_36_30_34
Cliente 268;41;MUJER;36;40_44;MUJER_36_40_44
Cliente 269;36;MUJER;15;35_39;MUJER_15_35_39
Cliente 270;38;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 271;59;HOMBRE;36;55_59;HOMBRE_36_55_59
Cliente 272;28;MUJER;36;25_29;MUJER_36_25_29
Cliente 273;34;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 274;31;HOMBRE;32;30_34;HOMBRE_32_30_34
Cliente 275;21;MUJER;15;20_24;MUJER_15_20_24
Cliente 276;48;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 277;37;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 278;23;MUJER;36;20_24;MUJER_36_20_24
Cliente 279;46;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 280;39;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 281;60;MUJER;15;60_64;MUJER_15_60_64
Cliente 282;39;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 283;58;MUJER;15;55_59;MUJER_15_55_59
Cliente 284;22;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 285;21;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 286;32;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 287;53;MUJER;36;50_54;MUJER_36_50_54
Cliente 288;29;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 289;52;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 290;54;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 291;25;MUJER;36;25_29;MUJER_36_25_29
Cliente 292;33;MUJER;15;30_34;MUJER_15_30_34
Cliente 293;26;MUJER;36;25_29;MUJER_36_25_29
Cliente 294;40;MUJER;36;40_44;MUJER_36_40_44
Cliente 295;30;MUJER;36;30_34;MUJER_36_30_34
Cliente 296;24;MUJER;32;20_24;MUJER_32_20_24
Cliente 297;61;HOMBRE;15;60_64;HOMBRE_15_60_64
Cliente 298;21;HOMBRE;15;20_24;HOMBRE_15_20_24
Cliente 299;33;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 300;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 301;54;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 302;49;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 303;27;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 304;36;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 305;46;HOMBRE;32;45_49;HOMBRE_32_45_49
Cliente 306;43;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 307;40;MUJER;15;40_44;MUJER_15_40_44
Cliente 308;47;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 309;46;MUJER;15;45_49;MUJER_15_45_49
Cliente 310;41;HOMBRE;32;40_44;HOMBRE_32_40_44
Cliente 311;31;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 312;47;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 313;39;MUJER;36;35_39;MUJER_36_35_39
Cliente 314;51;MUJER;27;50_54;MUJER_27_50_54
Cliente 315;34;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 316;32;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 317;23;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 318;36;MUJER;27;35_39;MUJER_27_35_39
Cliente 319;41;HOMBRE;27;40_44;HOMBRE_27_40_44
Cliente 320;29;HOMBRE;27;25_29;HOMBRE_27_25_29
Cliente 321;44;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 322;47;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 323;19;HOMBRE;32;15_19;HOMBRE_32_15_19
Cliente 324;42;HOMBRE;27;40_44;HOMBRE_27_40_44
Cliente 325;38;HOMBRE;32;35_39;HOMBRE_32_35_39
Cliente 326;35;MUJER;15;35_39;MUJER_15_35_39
Cliente 327;27;HOMBRE;27;25_29;HOMBRE_27_25_29
Cliente 328;38;MUJER;15;35_39;MUJER_15_35_39
Cliente 329;49;MUJER;36;45_49;MUJER_36_45_49
Cliente 330;49;MUJER;36;45_49;MUJER_36_45_49
Cliente 331;30;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 332;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 333;47;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 334;55;HOMBRE;15;55_59;HOMBRE_15_55_59
Cliente 335;32;MUJER;27;30_34;MUJER_27_30_34
Cliente 336;42;HOMBRE;27;40_44;HOMBRE_27_40_44
Cliente 337;29;MUJER;32;25_29;MUJER_32_25_29
Cliente 338;45;MUJER;15;45_49;MUJER_15_45_49
Cliente 339;59;MUJER;15;55_59;MUJER_15_55_59
Cliente 340;66;HOMBRE;36;65_69;HOMBRE_36_65_69
Cliente 341;32;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 342;35;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 343;56;HOMBRE;27;55_59;HOMBRE_27_55_59
Cliente 344;28;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 345;50;MUJER;15;50_54;MUJER_15_50_54
Cliente 346;24;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 347;27;MUJER;15;25_29;MUJER_15_25_29
Cliente 348;38;MUJER;15;35_39;MUJER_15_35_39
Cliente 349;48;HOMBRE;27;45_49;HOMBRE_27_45_49
Cliente 350;43;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 351;29;MUJER;15;25_29;MUJER_15_25_29
Cliente 352;64;MUJER;15;60_64;MUJER_15_60_64
Cliente 353;38;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 354;45;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 355;43;MUJER;15;40_44;MUJER_15_40_44
Cliente 356;35;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 357;46;MUJER;15;45_49;MUJER_15_45_49
Cliente 358;43;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 359;25;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 360;33;MUJER;15;30_34;MUJER_15_30_34
Cliente 361;57;HOMBRE;36;55_59;HOMBRE_36_55_59
Cliente 362;25;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 363;55;HOMBRE;15;55_59;HOMBRE_15_55_59
Cliente 364;31;HOMBRE;36;30_34;HOMBRE_36_30_34
Cliente 365;35;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 366;47;HOMBRE;27;45_49;HOMBRE_27_45_49
Cliente 367;45;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 368;27;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 369;22;HOMBRE;27;20_24;HOMBRE_27_20_24
Cliente 370;25;HOMBRE;32;25_29;HOMBRE_32_25_29
Cliente 371;50;MUJER;36;50_54;MUJER_36_50_54
Cliente 372;22;MUJER;36;20_24;MUJER_36_20_24
Cliente 373;22;MUJER;36;20_24;MUJER_36_20_24
Cliente 374;41;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 375;25;MUJER;15;25_29;MUJER_15_25_29
Cliente 376;53;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 377;49;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 378;41;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 379;26;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 380;36;MUJER;36;35_39;MUJER_36_35_39
Cliente 381;46;MUJER;27;45_49;MUJER_27_45_49
Cliente 382;29;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 383;27;HOMBRE;32;25_29;HOMBRE_32_25_29
Cliente 384;29;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 385;34;MUJER;15;30_34;MUJER_15_30_34
Cliente 386;27;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 387;33;MUJER;36;30_34;MUJER_36_30_34
Cliente 388;48;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 389;43;HOMBRE;27;40_44;HOMBRE_27_40_44
Cliente 390;29;HOMBRE;32;25_29;HOMBRE_32_25_29
Cliente 391;55;MUJER;36;55_59;MUJER_36_55_59
Cliente 392;40;MUJER;36;40_44;MUJER_36_40_44
Cliente 393;29;MUJER;36;25_29;MUJER_36_25_29
Cliente 394;47;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 395;37;HOMBRE;32;35_39;HOMBRE_32_35_39
Cliente 396;39;MUJER;36;35_39;MUJER_36_35_39
Cliente 397;29;MUJER;15;25_29;MUJER_15_25_29
Cliente 398;24;MUJER;15;20_24;MUJER_15_20_24
Cliente 399;34;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 400;39;HOMBRE;32;35_39;HOMBRE_32_35_39
Cliente 401;44;MUJER;15;40_44;MUJER_15_40_44
Cliente 402;32;MUJER;36;30_34;MUJER_36_30_34
Cliente 403;36;MUJER;15;35_39;MUJER_15_35_39
Cliente 404;45;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 405;37;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 406;46;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 407;23;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 408;50;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 409;36;HOMBRE;32;35_39;HOMBRE_32_35_39
Cliente 410;35;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 411;25;MUJER;27;25_29;MUJER_27_25_29
Cliente 412;37;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 413;46;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 414;48;HOMBRE;36;45_49;HOMBRE_36_45_49
